procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8778824 251348 3612896    0    0   107   112  451 1458  9  4 87  0  0
 0  0      0 8769200 251348 3615008    0    0     0   236 1277 2833  1  1 97  0  0
 0  0      0 8758868 251356 3613052    0    0     0    64 1176 2533  2  1 97  0  0
 0  0      0 8748796 251356 3613052    0    0     0     0 1054 2428  0  1 99  0  0
 0  0      0 8738960 251356 3612956    0    0     0     0  969 2367  1  1 99  0  0
 0  0      0 8728628 251356 3612956    0    0     0     0 1050 2355  1  1 99  0  0
 0  0      0 8718044 251356 3612956    0    0     0   576 1114 2406  1  1 98  0  0
 2  0      0 8707996 251356 3612956    0    0     0     0 1143 2509  1  1 98  0  0
 0  0      0 8697632 251364 3612976    0    0     0    68 1080 2417  2  1 97  0  0
 0  0      0 8687300 251364 3612976    0    0     0     0 1070 2418  1  0 99  0  0
